epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.00943,2.85881,4.40898,2.58002,0.01645,0.60914,0.0473,0.0401,0.55145,3.69222,0.83503,0.0943143,2.85714e-05,2.85714e-05
2,1.40239,2.51476,4.37363,2.48233,0.0001,0.00769,5e-05,2e-05,2.52084,4.3485,2.36473,0.0876809,6.1891e-05,6.1891e-05
3,1.8155,2.18696,4.3486,2.20478,0,0,0,0,2.57608,4.32295,2.3717,0.0810475,9.51535e-05,9.51535e-05
4,2.21465,2.22538,4.22509,2.18811,0.0003,0.01984,0.00042,4e-05,2.48671,4.28179,2.31296,0.074414,0.000128315,0.000128315
5,2.61802,2.16611,4.28133,2.13931,0.00142,0.07327,0.00114,0.00024,2.30825,4.3102,2.20742,0.0677804,0.00016133,0.00016133
6,3.01805,2.13179,4.19326,2.11885,0.00095,0.06113,0.00065,0.00014,2.15915,4.28204,2.09448,0.0611465,0.000194156,0.000194156
7,3.41838,2.05056,4.07289,2.07109,0.00161,0.08185,0.00106,0.00031,2.11579,4.26654,2.05168,0.0545125,0.00022675,0.00022675
8,3.81189,2.15829,4.05959,2.19965,0.00178,0.09343,0.00183,0.00036,1.98804,4.26743,2.02457,0.0478781,0.000259066,0.000259066
9,4.26782,2.10361,4.05051,2.11499,0.00236,0.08662,0.00525,0.0007,1.86345,4.29707,1.96846,0.0412434,0.000291064,0.000291064
10,4.66379,2.07127,3.99227,2.08755,0.00099,0.05429,0.00131,0.0003,1.86963,4.30167,1.97876,0.0346084,0.000322701,0.000322701
11,5.04447,2.23334,4.06726,2.19523,0.0017,0.08501,0.00185,0.00037,2.04503,4.3447,2.13931,0.027973,0.000353934,0.000353934
12,5.42438,2.18944,4.04871,2.15669,0.00189,0.0927,0.00168,0.00029,2.07714,4.35561,2.19524,0.0213371,0.000384723,0.000384723
13,5.80225,2.17575,3.95799,2.15924,0.00163,0.08015,0.00125,0.00027,2.06234,4.35078,2.24249,0.0147007,0.000415028,0.000415028
14,6.18912,2.19734,4.0556,2.16736,0.00334,0.17633,0.00259,0.00075,1.96068,4.2494,2.13743,0.00806386,0.000444809,0.000444809
15,6.57049,2.13523,3.97557,2.14661,0.00371,0.22138,0.01323,0.00249,1.86375,4.1173,1.99885,0.00142641,0.000474028,0.000474028
16,7.01545,2.1704,3.9225,2.18961,0.00506,0.31242,0.01675,0.0047,1.87422,4.03692,1.94829,0.000475476,0.000475476,0.000475476
17,7.41378,2.12907,3.89221,2.13351,0.0054,0.32694,0.02863,0.00721,1.89984,4.00499,1.96386,0.000472169,0.000472169,0.000472169
18,7.79732,2.11288,3.8742,2.11082,0.00495,0.29495,0.01583,0.00293,2.1844,4.03368,2.19606,0.000468667,0.000468667,0.000468667
19,8.20035,2.12779,3.92325,2.13588,0.00435,0.25267,0.01179,0.00239,2.23094,4.08422,2.29353,0.000464974,0.000464974,0.000464974
20,8.59357,2.20934,3.86104,2.19566,0.00408,0.23489,0.00732,0.00237,2.2535,4.08514,2.33941,0.000461093,0.000461093,0.000461093
21,8.96674,2.02558,3.84435,2.06746,0.00401,0.2333,0.00482,0.00176,2.20853,4.05358,2.29855,0.000457029,0.000457029,0.000457029
22,9.41881,2.06738,3.83647,2.1506,0.0044,0.25241,0.00446,0.00133,2.20715,3.9769,2.28953,0.000452785,0.000452785,0.000452785
23,9.82167,2.09817,3.7529,2.18079,0.00607,0.34879,0.00697,0.00197,2.14549,3.90534,2.24095,0.000448365,0.000448365,0.000448365
24,10.2207,2.03906,3.82008,2.12192,0.00666,0.37902,0.00831,0.00262,2.019,3.87884,2.17298,0.000443775,0.000443775,0.000443775
25,10.6154,2.09625,3.81767,2.16062,0.00767,0.42738,0.00873,0.00267,2.0056,3.88335,2.20944,0.000439018,0.000439018,0.000439018
26,11.0284,2.10261,3.84091,2.13034,0.00664,0.36954,0.00856,0.00298,2.04921,3.90306,2.25965,0.000434099,0.000434099,0.000434099
27,11.4412,2.03254,3.81469,2.1176,0.00718,0.39955,0.01014,0.00365,2.05978,3.97212,2.26852,0.000429023,0.000429023,0.000429023
28,11.8627,2.12347,3.7886,2.14787,0.00797,0.45234,0.01379,0.00465,1.99813,3.97506,2.19891,0.000423795,0.000423795,0.000423795
29,12.3207,1.99007,3.67625,2.07378,0.00851,0.47925,0.01965,0.00741,1.95467,3.92036,2.15138,0.00041842,0.00041842,0.00041842
30,12.7391,2.11114,3.8032,2.17135,0.0093,0.52315,0.02542,0.00836,1.8753,3.79003,2.08366,0.000412904,0.000412904,0.000412904
31,13.1562,2.03346,3.79234,2.15648,0.01058,0.56571,0.02262,0.00723,1.81496,3.72049,2.02187,0.000407252,0.000407252,0.000407252
