epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57477,1.5642,2.53861,1.87519,0.00475,0.81553,0.02199,0.00528,2.93706,3.75743,4.73956,0.0883,0.0013,0.0013
2,4.74308,1.67172,1.91018,1.95844,0.00282,0.30097,0.00189,0.00038,4.33135,inf,256.489,0.0756465,0.00264654,0.00264654
3,6.84962,1.7462,1.81511,2.04169,0,0,0,0,nan,nan,nan,0.0629376,0.00393764,0.00393764
4,9.06382,1.74124,1.77413,1.96844,0.0004,0.06796,0.00025,7e-05,4.17796,inf,1448.27,0.0501733,0.0051733,0.0051733
5,11.2817,1.66038,1.7413,1.96533,0,0,0,0,3.3237,inf,90.5459,0.0373535,0.00635352,0.00635352
6,13.3982,1.71448,1.70611,1.94818,0.00488,0.39806,0.00328,0.00127,3.23422,inf,33.2719,0.0244783,0.0074783,0.0074783
7,15.5818,1.66639,1.64877,1.953,0.00068,0.1165,0.00042,0.00012,3.67641,inf,41.893,0.0115476,0.00854764,0.00854764
8,17.7531,1.62519,1.64486,1.92313,0.00023,0.03883,0.00013,3e-05,4.65752,inf,38.6388,0.008614,0.008614,0.008614
9,19.8655,1.64254,1.58753,1.90177,0.00464,0.02913,0.00172,0.00047,4.03602,inf,8.11176,0.008416,0.008416,0.008416
10,21.9906,1.56337,1.54145,1.85912,0.05745,0.24272,0.041,0.00974,2.74118,63.1808,4.59226,0.008218,0.008218,0.008218
11,24.1909,1.51683,1.47242,1.79872,0.06698,0.3301,0.08011,0.02603,2.36364,33.6872,3.56575,0.00802,0.00802,0.00802
12,26.3507,1.57109,1.51202,1.85322,0.01091,0.12621,0.00736,0.0022,2.35363,inf,3.51293,0.007822,0.007822,0.007822
13,28.5374,1.54599,1.44627,1.81577,0.05385,0.35922,0.04173,0.0155,2.07986,24.7373,3.19592,0.007624,0.007624,0.007624
14,30.7255,1.50489,1.41612,1.80548,0.10676,0.49515,0.08287,0.03376,2.06098,16.6544,3.01417,0.007426,0.007426,0.007426
15,32.8579,1.46861,1.38095,1.75149,0.23681,0.64078,0.22007,0.09849,1.7617,8.2343,2.4338,0.007228,0.007228,0.007228
