epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.34776,1.11031,1.36226,1.21735,0.96187,0.51772,0.70629,0.4804,1.01309,1.98886,1.16534,0.06707,3.2963e-05,3.2963e-05
2,15.6704,0.96538,0.77107,1.1276,0.97215,0.97692,0.98956,0.72425,0.91997,0.70155,1.07042,0.0337696,6.58587e-05,6.58587e-05
3,23.5654,0.90211,0.66621,1.09957,0.96885,0.98645,0.99275,0.74391,0.86871,0.53086,1.04988,0.000468685,9.83145e-05,9.83145e-05
4,30.7054,0.88963,0.64118,1.09173,0.98668,0.98321,0.99365,0.75285,0.83234,0.50523,1.01143,9.802e-05,9.802e-05,9.802e-05
5,38.123,0.86589,0.60861,1.08153,0.98979,0.98134,0.99357,0.76951,0.81015,0.46909,1.00861,9.736e-05,9.736e-05,9.736e-05
6,45.3619,0.84085,0.58122,1.06554,0.98824,0.99254,0.99452,0.76863,0.7921,0.45174,0.99385,9.67e-05,9.67e-05,9.67e-05
7,52.4953,0.84073,0.57456,1.06757,0.97959,0.98474,0.99266,0.76761,0.80398,0.46172,1.02623,9.604e-05,9.604e-05,9.604e-05
8,59.6198,0.82738,0.55508,1.05793,0.98336,0.99243,0.99232,0.77392,0.77657,0.43857,1.01053,9.538e-05,9.538e-05,9.538e-05
9,66.6536,0.8195,0.54347,1.06494,0.9882,0.9944,0.99434,0.77652,0.77601,0.42693,0.99436,9.472e-05,9.472e-05,9.472e-05
10,73.5925,0.82218,0.53863,1.05402,0.9944,0.99418,0.99448,0.78723,0.8,0.41518,1.00835,9.406e-05,9.406e-05,9.406e-05
11,80.6276,0.79723,0.51851,1.04831,0.99192,0.9944,0.99489,0.78624,0.7712,0.40479,0.98555,9.34e-05,9.34e-05,9.34e-05
12,87.909,0.78821,0.51059,1.03995,0.99505,0.98507,0.99494,0.79532,0.75038,0.39759,0.9826,9.274e-05,9.274e-05,9.274e-05
13,96.454,0.79502,0.51359,1.03965,0.99692,0.99627,0.99498,0.79569,0.74036,0.39196,0.9686,9.208e-05,9.208e-05,9.208e-05
14,105.761,0.76642,0.48897,1.03513,0.98951,0.99067,0.99491,0.80958,0.69877,0.36622,0.96703,9.142e-05,9.142e-05,9.142e-05
15,115.006,0.7842,0.49975,1.03426,0.98703,0.99375,0.99456,0.80303,0.71148,0.38134,0.96612,9.076e-05,9.076e-05,9.076e-05
16,124.018,0.76251,0.48097,1.03369,0.98703,0.9936,0.99468,0.80866,0.69163,0.37756,0.96536,9.01e-05,9.01e-05,9.01e-05
17,132.257,0.77294,0.48443,1.03034,0.99079,0.9944,0.99475,0.81328,0.70408,0.38544,0.96417,8.944e-05,8.944e-05,8.944e-05
18,139.475,0.74155,0.46272,1.02814,0.98941,0.99254,0.99454,0.80549,0.70985,0.35993,0.9752,8.878e-05,8.878e-05,8.878e-05
19,146.718,0.73688,0.46693,1.03306,0.98966,0.9944,0.99493,0.80131,0.70325,0.3669,0.95225,8.812e-05,8.812e-05,8.812e-05
20,154.815,0.75526,0.46267,1.03173,0.99584,0.99813,0.99489,0.82599,0.67512,0.35472,0.94608,8.746e-05,8.746e-05,8.746e-05
21,162.531,0.73764,0.46329,1.02116,0.99438,0.99627,0.99466,0.81633,0.6883,0.36025,0.94844,8.68e-05,8.68e-05,8.68e-05
22,169.87,0.74488,0.46621,1.02808,0.99188,0.9944,0.99491,0.83275,0.64599,0.35943,0.9323,8.614e-05,8.614e-05,8.614e-05
23,177.856,0.73479,0.45528,1.0198,0.98972,1,0.99494,0.82877,0.65141,0.35309,0.92926,8.548e-05,8.548e-05,8.548e-05
24,185.365,0.72639,0.44868,1.01962,0.99174,0.99627,0.99479,0.82568,0.68153,0.35307,0.95591,8.482e-05,8.482e-05,8.482e-05
25,193.701,0.71614,0.44354,1.02052,0.99423,0.99627,0.99492,0.82887,0.66769,0.35579,0.94289,8.416e-05,8.416e-05,8.416e-05
26,200.954,0.71866,0.43858,1.01159,0.99256,0.99543,0.99491,0.83226,0.67104,0.34744,0.9354,8.35e-05,8.35e-05,8.35e-05
27,207.925,0.69804,0.43289,1.01241,0.99197,0.99254,0.9937,0.82783,0.66042,0.35658,0.93607,8.284e-05,8.284e-05,8.284e-05
28,214.966,0.70535,0.43071,1.00648,0.98036,0.99627,0.99466,0.83227,0.64948,0.33486,0.93506,8.218e-05,8.218e-05,8.218e-05
29,222.97,0.69593,0.42477,1.00788,0.98879,0.99627,0.99489,0.83363,0.61898,0.32847,0.91524,8.152e-05,8.152e-05,8.152e-05
30,231.633,0.70228,0.42702,1.00668,0.99628,0.99804,0.99476,0.82867,0.67077,0.34057,0.93611,8.086e-05,8.086e-05,8.086e-05
31,239.007,0.69572,0.42584,1.00418,0.99307,0.99254,0.99491,0.83512,0.63036,0.32831,0.92151,8.02e-05,8.02e-05,8.02e-05
32,246.372,0.67132,0.41419,1.00532,0.99568,0.99254,0.99492,0.83773,0.62773,0.33774,0.9229,7.954e-05,7.954e-05,7.954e-05
33,253.726,0.68643,0.4214,0.99901,0.98,0.9944,0.99454,0.84273,0.61725,0.33461,0.92648,7.888e-05,7.888e-05,7.888e-05
34,261.063,0.67664,0.41629,1.00177,0.99186,1,0.99487,0.85029,0.6007,0.31506,0.91286,7.822e-05,7.822e-05,7.822e-05
35,268.437,0.68296,0.41849,0.99784,0.99367,0.99254,0.99494,0.8464,0.61903,0.3204,0.91536,7.756e-05,7.756e-05,7.756e-05
36,275.786,0.66733,0.40891,0.99476,0.99373,0.99254,0.99476,0.84095,0.64524,0.32382,0.91722,7.69e-05,7.69e-05,7.69e-05
37,283.148,0.6818,0.41808,0.99735,0.99257,0.99813,0.99494,0.8488,0.62667,0.32338,0.91353,7.624e-05,7.624e-05,7.624e-05
38,290.496,0.66446,0.40298,0.9886,0.99441,0.9957,0.995,0.85435,0.59615,0.30732,0.89689,7.558e-05,7.558e-05,7.558e-05
39,297.847,0.66533,0.40468,0.99718,0.99813,0.99806,0.99498,0.8527,0.61412,0.31625,0.90498,7.492e-05,7.492e-05,7.492e-05
40,305.23,0.66165,0.39953,0.99285,0.99439,0.99228,0.99496,0.85893,0.58366,0.31187,0.89073,7.426e-05,7.426e-05,7.426e-05
41,312.586,0.66673,0.40641,0.99298,0.99003,0.99627,0.99487,0.8616,0.58213,0.31104,0.89474,7.36e-05,7.36e-05,7.36e-05
42,320.398,0.64965,0.39394,0.98871,0.98821,1,0.99489,0.85325,0.60122,0.31216,0.90094,7.294e-05,7.294e-05,7.294e-05
43,327.771,0.65597,0.39501,0.98886,0.99253,0.99092,0.99491,0.86458,0.57225,0.31154,0.89111,7.228e-05,7.228e-05,7.228e-05
44,335.152,0.6517,0.38956,0.99319,0.99399,0.99813,0.99498,0.85705,0.6108,0.30878,0.89827,7.162e-05,7.162e-05,7.162e-05
45,342.517,0.64259,0.38659,0.98358,0.99627,0.99776,0.99496,0.85424,0.61786,0.30553,0.90128,7.096e-05,7.096e-05,7.096e-05
46,349.88,0.6505,0.38956,0.98648,0.98682,0.99813,0.99491,0.85991,0.59595,0.30763,0.90702,7.03e-05,7.03e-05,7.03e-05
47,357.331,0.64707,0.38695,0.98554,0.99813,0.99799,0.99479,0.8641,0.58357,0.29667,0.89354,6.964e-05,6.964e-05,6.964e-05
48,364.755,0.64363,0.38592,0.97684,0.99391,0.99813,0.99496,0.86517,0.5684,0.29896,0.89867,6.898e-05,6.898e-05,6.898e-05
49,372.197,0.6467,0.38782,0.98634,0.9925,0.98703,0.99374,0.85916,0.58119,0.30052,0.8946,6.832e-05,6.832e-05,6.832e-05
50,379.561,0.63669,0.37923,0.97876,0.99259,0.9994,0.99476,0.86746,0.56468,0.30007,0.89133,6.766e-05,6.766e-05,6.766e-05
51,386.916,0.6448,0.38389,0.98564,0.99653,0.99254,0.99498,0.86824,0.56895,0.29665,0.89184,6.7e-05,6.7e-05,6.7e-05
52,394.294,0.62502,0.37184,0.97741,1,0.98852,0.995,0.87139,0.57297,0.29991,0.88347,6.634e-05,6.634e-05,6.634e-05
53,401.72,0.6359,0.38183,0.9795,0.99443,0.99963,0.99485,0.86894,0.54991,0.29412,0.87798,6.568e-05,6.568e-05,6.568e-05
54,409.092,0.64244,0.37771,0.97619,0.99627,0.99705,0.99476,0.86158,0.57188,0.28618,0.88719,6.502e-05,6.502e-05,6.502e-05
55,416.519,0.63687,0.37934,0.97654,0.99626,0.99274,0.99445,0.86426,0.54828,0.28449,0.87817,6.436e-05,6.436e-05,6.436e-05
56,423.924,0.62691,0.37582,0.97485,0.99259,0.99941,0.99491,0.87056,0.55953,0.28783,0.88713,6.37e-05,6.37e-05,6.37e-05
57,431.337,0.61696,0.36735,0.97659,0.98672,1,0.99494,0.86835,0.55732,0.28831,0.88301,6.304e-05,6.304e-05,6.304e-05
58,438.722,0.62498,0.3703,0.97088,0.99258,0.99762,0.99491,0.87716,0.5432,0.2814,0.87402,6.238e-05,6.238e-05,6.238e-05
59,446.123,0.61082,0.36424,0.97551,0.9885,1,0.99466,0.88004,0.53042,0.2841,0.87175,6.172e-05,6.172e-05,6.172e-05
60,453.568,0.62926,0.37152,0.97365,0.996,1,0.99498,0.87778,0.53188,0.27735,0.8673,6.106e-05,6.106e-05,6.106e-05
61,460.954,0.6224,0.37046,0.97202,0.99874,0.99627,0.995,0.88042,0.53439,0.27196,0.8673,6.04e-05,6.04e-05,6.04e-05
62,468.319,0.61111,0.35923,0.97809,0.99443,0.99954,0.995,0.88096,0.5249,0.26616,0.8661,5.974e-05,5.974e-05,5.974e-05
63,475.705,0.62052,0.36413,0.97027,0.99245,0.99813,0.99489,0.87857,0.53181,0.27642,0.87409,5.908e-05,5.908e-05,5.908e-05
